Tin Sn,11,220,57
Overview of materials for Low Alloy Steel,110 - 2400,180 - 2730,1.00 - 40.0
Overview of materials for Austenitic,25.0 - 2400,105 - 3000,2.00 - 62.0
Overview of materials for Chrome-moly Steel,275 - 2070,485 - 2650,10.0 - 20.0
Overview of materials for Martensitic,205 - 1910,345 - 2350,2.00 - 40.0
Overview of materials for Stainless Steel,25.0 - 2500,34.5 - 3100,0.000 - 62.0
Overview of materials for Precipitation Hardening Stainless,255 - 2500,310 - 3100,0.000 - 18.0
Overview of materials for T 300 Series Stainless Steel,138 - 1800,34.5 - 2200,28.0 - 62.0
Overview of materials for T 400 Series Stainless Steel,165 - 1900,280 - 2070,2.00 - 40.0
Overview of materials for Hot Work Steel,800 - 1900,1010 - 2310,10.0 - 16.0
Overview of materials for Mold Steel,689 - 2310,441 - 2000,8.00 - 17.0
Overview of materials for Aluminum Alloy,1.24 - 730,0.700 - 1600,2.50 - 15.0
Overview of materials for Cobalt Alloy,207 - 2280,80.0 - 2540,0.000 - 3.50
Overview of materials for Copper Alloy,0.250 - 1520,0.250 - 1590,5.00 - 15.0
"Aluminum 4019, AE Condition",300,400,2.5
Aluminum 7034-T6,730,750,8
"Aluminum 8009, AE Condition",385,450,15
Delphi K-Alloy A304 Casting Alloy,159 - 172,290 - 296,5.00 - 14.0
Dura-Bar 65-45-12 HRDS Continuously Cast Ductile Iron Bar Stock ASTM A536,310,448,12
International Mold Steel Superplast® Stainless Plastic and Rubber Mold Steel,890,1000,14
NiCoForm NiColoy® E Electroformed Nickel-Cobalt,758 - 965,1100,1
PSM Industries PolyAlloys MIM-2200 sintered Low Alloy Steel,110 - 124,255 - 290,20.0 - 40.0
PSM Industries PolyAlloys MIM-2700 sintered Low Alloy Steel,207 - 255,379 - 414,20.0 - 26.0
PSM Industries PolyAlloys MIM-4605 sintered Low Alloy Steel,172 - 207,379 - 441,11.0 - 15.0
PSM Industries PolyAlloys MIM-4605 quench/temper Low Alloy Steel,1310 - 1480,1480 - 1650,1.00 - 2.00
PSM Industries PolyAlloys MIM-316L sintered Stainless Steel,138 - 172,448 - 517,40.0 - 50.0
PSM Industries PolyAlloys MIM-430L sintered Stainless Steel,207 - 241,345 - 414,20.0 - 25.0
PSM Industries PolyAlloys MIM-17-4PH sintered Stainless Steel,648 - 731,793 - 896,4.00 - 6.00
PSM Industries PolyAlloys MIM-14-4PH Heat Treated Stainless Steel,965 - 1090,1070 - 1190,4.00 - 6.00
PSM Industries PolyAlloys MIM-2200 Soft Magnetic Steel,124,290,40
PSM Industries PolyAlloys MIM-Fe-50%Ni Grade 1 Soft Magnetic Steel,159,455,30
PSM Industries PolyAlloys MIM-Fe-50%Ni Grade 2 Soft Magnetic Steel,159,455,30
PSM Industries PolyAlloys MIM-Fe-%3Si Grade 1 Soft Magnetic Steel,393,531,24
PSM Industries PolyAlloys MIM-Fe-%3Si Grade 2 Soft Magnetic Steel,393,531,24
PSM Industries PolyAlloys MIM-Fe-50%Co Soft Magnetic Steel,138,207,1
PSM Industries PolyAlloys MIM-430L sintered Soft Magnetic Steel,241,414,25
Schmolz + Bickenbach Formadur® PH X Superclean Plastic Mold Steel,1100 - 1210,1120 - 1240,12.2 - 12.8
Schmolz + Bickenbach CorroPlast® Plastic Mold Steel,889,1100,13
Schmolz + Bickenbach Thermodur® 2344 Magnum Hot Work Die Steel,1170 - 1520,1380 - 1790,12.0 - 14.0
Schmolz + Bickenbach Thermodur® E38K Hot Work Die Steel,1170 - 1450,1410 - 1810,12.0 - 14.0
Schmolz + Bickenbach Thermodur® 2367 Superclean Hot Work Die Steel,1180 - 1550,1400 - 1840,12.0 - 13.0
